"Brand","Brand ID","Month and Year","Affiliate","Impressions","Clicks","Signups","NDC","fdt","Net Revenue","Earnings"
"Nesine","1","Jan-24","testuser","24,946","8,967","11,316","7,539","7,539","€ 394,783.82","€ 0.00"
"Nesine","1","Jan-24","casinodomain","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","weblight0013","0","2","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","weblight0014","0","2","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","weblight0032","0","5","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","betstudy","0","3","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","kibriscasino","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","dreamydell","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","casino100","0","25","0","0","0","€ 1.21","€ 0.30"
"Nesine","1","Jan-24","Peacefrog","0","9","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","elgoog","2","21","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","3048","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","77","0","3","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","fcbet","183","2,012","17","12","12","€ 13,565.69","€ 1,900.00"
"Nesine","1","Jan-24","macsonuclarinet","9,493","1,057","5","3","3","-€ 447.95","€ 0.00"
"Nesine","1","Jan-24","iddaa-tahmin","0","1","0","2","2","€ 43.15","€ 15.10"
"Nesine","1","Jan-24","kappara","12","13","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","casinoklavuzu","744","977","0","2","2","€ 3,105.73","€ 1,242.29"
"Nesine","1","Jan-24","cidoncha","0","4","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","casinobahis","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","Magent","0","6","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","erikessunger","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","panzerhorgen","0","3","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","dolunay039","0","81","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","gratispoker","0","2","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","iddaliyim","0","4","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","cassid","0","12","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","zengineder","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","weblight0145","0","6","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","click3","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","onlinetribun","269","36","1","0","0","-€ 216.70","€ 0.00"
"Nesine","1","Jan-24","blogs77","123","606","1","3","3","-€ 1,860.75","€ 0.00"
"Nesine","1","Jan-24","oonder","0","7","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","ocrloung","0","16","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","mstfonder","0","2","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","hgjeap65","0","0","5,580","3,699","3,699","€ 617,019.62","€ 0.00"
"Nesine","1","Jan-24","ghred45","0","0","6","1","1","-€ 5,349.08","€ 0.00"
"Nesine","1","Jan-24","devfat","2","2,321","25","9","9","€ 1,658.35","€ 864.59"
"Nesine","1","Jan-24","oplive","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","casinooyna","0","7","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","pokerplus","0","22","1","1","1","€ 2.35","€ 0.59"
"Nesine","1","Jan-24","master7","0","56","0","0","0","€ 460.17","€ 207.08"
"Nesine","1","Jan-24","tvtube","0","2","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","tahminetor","0","1,430","1","0","0","€ 715.69","€ 178.92"
"Nesine","1","Jan-24","mickey417","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","sportsbetandwin","0","3","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","aricansukru","0","13","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","casinobahis2","0","3,140","238","34","34","€ 1,757.66","€ 1,459.42"
"Nesine","1","Jan-24","malteseo","21","6","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","oclive","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","biGGipsy","0","106","2","1","1","€ 35.91","€ 8.98"
"Nesine","1","Jan-24","bahissiteleri2","0","36","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","gamblingrooms","0","12","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","erendemirr","2","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","derenbik","10","652","59","11","11","€ 1,220.75","€ 0.48"
"Nesine","1","Jan-24","holdemturkiye","59","29","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","aylin","0","3","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","aignon","6","39","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","affiliatecan","0","144","2","0","0","€ 13.72","€ 3.43"
"Nesine","1","Jan-24","kemalkcrgl","0","106","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","ustaenes","0","13","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","fk502","0","6,144","242","262","262","€ 460,679.60","€ 230,339.80"
"Nesine","1","Jan-24","casinoseiten","0","2","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","stckhlm","3","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","ams-yabancidiziizle1","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","redcasino","0","2","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","FreeSpin","0","1","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","affiliatobet10","0","2","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","ilginn","0","3","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","cancayci","0","2","0","0","0","-€ 349.25","€ 0.00"
"Nesine","1","Jan-24","ams-video","0","3","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","pisipisi","0","3","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","equadrat12","40,913","19","0","0","0","€ 0.00","€ 0.00"
"Nesine","1","Jan-24","websearch","0","6","0","0","0","€ 0.00","€ 0.00"
